"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income %","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","lowmod_hh","TimeFrame","GeoVintage","Source","Location"
"Census Tract","25025140300","MA","25025140300","=""25025140300""","82.88","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025140400","MA","25025140400","=""25025140400""","84.27","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025980101","MA","25025980101","=""25025980101""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025980300","MA","25025980300","=""25025980300""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025980700","MA","25025980700","=""25025980700""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025980900","MA","25025980900","=""25025980900""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025981000","MA","25025981000","=""25025981000""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025981100","MA","25025981100","=""25025981100""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025981201","MA","25025981201","=""25025981201""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025981202","MA","25025981202","=""25025981202""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025981300","MA","25025981300","=""25025981300""","222.25","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025981501","MA","25025981501","=""25025981501""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025981600","MA","25025981600","=""25025981600""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025981700","MA","25025981700","=""25025981700""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025981800","MA","25025981800","=""25025981800""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025981900","MA","25025981900","=""25025981900""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025990101","MA","25025990101","=""25025990101""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
