businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
Desnuda Cocina & Bar,,647 Tremont,Roxbury,MA,02118,Active,FS,Eating & Drinking,2024-07-24 17:03:50.59+00,7815408666,137837,42.34224125123994,-71.07542805750037
Detroit Pizza,,594A Washington,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2023-08-04 18:03:55.18+00,6177747466,171341,42.35034125241387,-71.1668347220589
Deuxave,,371 Commonwealth,Boston,MA,02115,Active,FS,Eating & Drinking,2010-04-22 14:39:47+00,,163721,42.34946879365899,-71.0890756368446
DEVLIN'S RESTAURANT,,332 Washington,Brighton,MA,02135,Active,FS,Eating & Drinking,2006-12-07 18:35:21+00,6179436210,143520,42.348878000078884,-71.15234200072524
D'Guru,,43 Kingston,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2022-04-20 18:15:56.197+00,6173315138,166784,42.35346054595528,-71.05942496694595
Diamond Tart,,179 Harvard,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,2025-06-11 12:32:44.59+00,8572086038,166106,42.35091809439564,-71.13154245604838
Dig Inn,,25 Thomson,Boston,MA,02210,Active,FS,Eating & Drinking,2019-02-11 17:03:25.073+00,,355868,42.35091422088697,-71.04740595226723
Dig Inn,,277 Washington,Boston,MA,02108,Active,FS,Eating & Drinking,2016-09-12 17:00:10.41+00,9174147539,144543,42.35759154235909,-71.05834235950775
Dig Inn,,557 Boylston,Boston,MA,02116,Active,FS,Eating & Drinking,2016-01-08 19:40:47.25+00,9174147539,18347,42.35070299993946,-71.07617400088955
DILLON'S,,955 Boylston,BOSTON,MA,02115,Active,FS,Eating & Drinking,2006-12-07 18:36:00+00,6174211818,,42.348060000012566,-71.085760001233
